target,model,season,n_games,accuracy,log_loss,mae,ats_pct
h1_win,vegas,2022,284,0.5810276679841897,0.6739895675987293,,
h1_win,vegas,2023,285,0.6792452830188679,0.6369659156608571,,
h1_win,vegas,2024,285,0.6290909090909091,0.6408817728935245,,
h1_win,vegas,2025,285,0.6206896551724138,0.6458475197704125,,
h1_win,vegas,2026,24,0.6521739130434783,0.6332365860525685,,
spread,elo,2017,267,,,10.617213457605045,0.5019305019305019
spread,elo,2018,267,,,10.276938698218176,0.5193798449612403
spread,elo,2019,267,,,10.487221019025307,0.4708171206225681
spread,elo,2020,269,,,9.998669426695926,0.5390334572490706
spread,elo,2021,285,,,11.149799575502717,0.49466192170818507
spread,elo,2022,284,,,9.067285373301408,0.4927007299270073
spread,elo,2023,285,,,10.492347666031737,0.46863468634686345
spread,elo,2024,285,,,10.129436976738802,0.501779359430605
spread,elo,2025,285,,,10.14549997843473,0.5070422535211268
spread,elo,2026,30,,,12.371947652669082,0.41379310344827586
spread,home_team,2017,267,,,11.437959037344028,0.4749034749034749
spread,home_team,2018,267,,,10.630094036928146,0.5310077519379846
spread,home_team,2019,267,,,11.602583246018764,0.5175097276264592
spread,home_team,2020,269,,,11.085505058507577,0.5576208178438662
spread,home_team,2021,285,,,12.037439711051341,0.5266903914590747
spread,home_team,2022,284,,,9.6047969463366,0.5291970802919708
spread,home_team,2023,285,,,11.104646482929539,0.4907749077490775
spread,home_team,2024,285,,,11.154156198980768,0.49110320284697506
spread,home_team,2025,285,,,11.001887146981078,0.5
spread,home_team,2026,30,,,12.425769442858044,0.4482758620689655
spread,lightgbm,2017,267,,,11.054289321686374,0.4864864864864865
spread,lightgbm,2018,267,,,10.510144417138568,0.47674418604651164
spread,lightgbm,2019,267,,,10.779419809360416,0.47470817120622566
spread,lightgbm,2020,269,,,10.27297088096302,0.5018587360594795
spread,lightgbm,2021,285,,,11.006311208264174,0.5409252669039146
spread,lightgbm,2022,284,,,9.278978850111248,0.5109489051094891
spread,lightgbm,2023,285,,,10.654792421376998,0.46494464944649444
spread,lightgbm,2024,285,,,10.243758436126093,0.5124555160142349
spread,lightgbm,2025,285,,,10.04094455384735,0.4788732394366197
spread,lightgbm,2026,30,,,12.004138356973236,0.5517241379310345
spread,lightgbm_coherent,2017,267,,,11.054289321686374,0.4864864864864865
spread,lightgbm_coherent,2018,267,,,10.510144417138568,0.47674418604651164
spread,lightgbm_coherent,2019,267,,,10.779419809360416,0.47470817120622566
spread,lightgbm_coherent,2020,269,,,10.27297088096302,0.5018587360594795
spread,lightgbm_coherent,2021,285,,,11.006311208264174,0.5409252669039146
spread,lightgbm_coherent,2022,284,,,9.278978850111248,0.5109489051094891
spread,lightgbm_coherent,2023,285,,,10.654792421376998,0.46494464944649444
spread,lightgbm_coherent,2024,285,,,10.243758436126093,0.5124555160142349
spread,lightgbm_coherent,2025,285,,,10.04094455384735,0.4788732394366197
spread,lightgbm_coherent,2026,30,,,12.004138356973236,0.5517241379310345
spread,lightgbm_plus_vegas,2017,267,,,10.696046229139831,0.47104247104247104
spread,lightgbm_plus_vegas,2018,267,,,10.5010572704802,0.45348837209302323
spread,lightgbm_plus_vegas,2019,267,,,10.430684100253279,0.5525291828793775
spread,lightgbm_plus_vegas,2020,269,,,9.931349351977783,0.5278810408921933
spread,lightgbm_plus_vegas,2021,285,,,10.685918569672717,0.5231316725978647
spread,lightgbm_plus_vegas,2022,284,,,9.053882885531634,0.5328467153284672
spread,lightgbm_plus_vegas,2023,285,,,10.462501213230476,0.4833948339483395
spread,lightgbm_plus_vegas,2024,285,,,9.967706153778934,0.47686832740213525
spread,lightgbm_plus_vegas,2025,285,,,9.72325596240238,0.5
